884743	8653
851976	1225,7515,1303,5076,6391,8153,1734,5557,4770,4447,7180,2099
589835	5656
165852	7336,2211,6272,3924,1023,4528,6048,1613,5786,6067,5793,9984,9769,7014,2804
327696	8177,6812,9674,7631,2223,5786,6197,1651,5380,7803,3135,5896,3173,9897,6449,8682,5686,7210,7728,5794,5793,3097
557075	7336,1777,4528,3924,4942,2303,6391,2223,5085,1955,6067,7037,9143,9617,7119
163860	4923,9397,9408,3051
196630	5380,9733,1303,1124,4301,4224,2099,5074,9382,5278,7515,3760,2443,2925,8397,6868,4770,9844,9230,2062,1287,4731,3881,3683,6391,3030,4953,6251,6036
688152	6796,8397,7405,8082,2463,5106,2077,6391,9520,5557,8823,7515,2474,4447,8646,2099,2361
524320	3587,2980,2931,5521,6067,1669,7783,2361
196644	2711,9604,3924,9230,6391,5557,9755,4570,4572,6337,9960,9844,3896,6538,7149
622630	7336,1027,2526,4696,9048,2803,7119,2104,2260,9170
360490	1023,3924,1271,2080,6391,1955,1694,6067,2601,5811,7014,6337
753709	6796,4923,5303,2938,4699,2847,7037,1200,9709,6074,8479,7456,9175,9408
786479	8427,2862,5599,8447,1147,1023,6540,6811,4528,2980,2741,2491,6337,5793,6067,2935,1520,6449
693598	9397,2526,3713,6584,5168,1827,5440,1734,3135,9629,6067,5914,7537,2104
688187	8374,1147,2990,5278,9629,6067,1684,5896,4202,7537,1651,5739,5998,6449
589884	9617,2211,4528,1719,4942,3130,7119
910215	6796,4923,9674,8229,3874,4179,3135,1569,5794,5793,5211
786499	7254,6555,6984,4770,1023,5223,1651,4741,6391,5557,3015,7434,7515,4494,6067,6615,2015,7537,7929,9230,3050
262213	1226,3924,1303,2925,3829,4570,4572,2099,2807,6343,4748,5378,6346,5786,4980,7515,5380,7336,9371,8397,3205,8248,5325,4770,7902,8261,9397,2212,1287,8082,3683,6391,6038
196682	5029,3611,7803,1023,6796,5794,4179,2139,3135,9629,9897,5793,5896,6449
917579	8397,8177,9230,9388,6391,3874,3627,4621,7515,2711,4770,2099,5628,6449
327764	9263,2211,3924,4528,2069,6611,5896
524376	5029,8397,8250,2069,6391,9388,4007,4980,7515,4770,9230
524378	4093,9806,5087,7929,9629,6067,6615,7405,9492,9303,9230,2361,6449
753761	3796,2961,3924,1271,6391,4572,8397,7515,2711,6067,6615,2015,9230
852074	4375,5896,4528
458861	6796,9769,8347,3250,8229,6391,5278,7929,8764,5557,6067,6615,7830,6449,3896,8618,9979,6908
721007	5380,7336,2711,3566,3924,8082,8397,3874,4179,3323,6067,1023,9230
360565	9263,2658,3924,9611,7339,7037,9383,3511,2223,1569,6067,7923,6611,8479,5739,5558,7336,2211,4528,6657,6391,5085,2252
491638	6270,8397,1023,8764,5168,2491,6391,1238,6111,5085,3179,6811,5997,4494,6067,4447,7830,6449,2361,4029
131191	5594,7210,4741,4721,2854,2400,8313,6951,7555
524413	8404
950401	2711,3924,9445,8397,9755,6447,9629,6067,9844,6391,9230,6337
852102	4770,2854,2069,3151,7539,6088,6951
426124	5594,7279,9755,9840,9844,2008,5074
196753	7336,6398,6391,4770,3924,8397,1073,3829,7259,7515,4572,2099,7619
