7245481	962729	4.0
7245481	356405	4.0
7245481	836383	4.0
7245481	284550	4.0
7245481	723581	4.0
7245481	827305	4.0
7245481	572786	4.0
7245481	473690	4.0
7245481	964695	4.0
7245481	929118	4.0
7245481	685906	4.0
7245481	787684	4.0
7245481	907975	4.0
7245481	346935	4.0
7245481	379984	4.0
7245481	235338	4.0
7245481	424691	4.0
7245481	916469	4.0
7245481	122271	4.0
7245481	393939	4.0
7245481	770814	4.0
7245481	849294	4.0
7245481	759828	4.0
7245481	242462	4.0
7245481	418051	4.0
7245481	487145	4.0
7245481	542175	4.0
7245481	964342	4.0
7245481	113303	4.0
7245481	105810	4.0
7245481	516012	4.0
7245481	731161	4.0
7245481	885390	4.0
7245481	932682	4.0
7245481	913998	4.0
7245481	144718	4.0
7245481	724396	4.0
7245481	134003	4.0
7245481	461138	4.0
7245481	901657	4.0
7245481	161014	4.0
7245481	365504	4.0
7245481	465392	4.0
7245481	500435	4.0
7245481	855364	4.0
7245481	920025	4.0
7245481	633304	4.0
7245481	310747	4.0
7245481	761832	4.0
7245481	484434	4.0
